決算月	決算日	当期純利益	assets	liabilities	equity	revenues	expenses	basis	現金	モバイルSuica	watchSuica	三井住友銀行	ゆうちょ銀行	住信SBIネット銀行	飯塚信用金庫	株式	債券	シエンタ	シエンタ償却額	MAZDA3	MAZDA3償却額	未収入金	未収収益	前払費用	JALカードSuicaゴールド	ビックカメラSuica	SMBCCARD	Amazonゴールド	Amazon仮勘定	未払金	前受収益	未払費用	税額調整	資本金	拠出金	父より	母より	任意積立金	留保利益	給与収入	ボーナス	受取利息	有価証券評価損益	有価証券売却損益	受取配当金	雑益	食材費	中食費	外食費	酒・お菓子	パーティ	趣味	レジャー費	交際費	事務用品費	消耗品費	医療費	被服費	書籍費	交通費	旅費	家賃	水道光熱費	保育費	養育費	通信費	償却費	雑費	雑損
202209	2022/09/30	-2195	9313872	1872024	7441848	350000	352195	350000	57485	17211	0	2291916	2720923	97977	0	1196800	1000000	0	0	0	0	79697	1750000	101863	1138814	91074	1487	-14311	142557	0	0	530970	-18567	1667947	780000	1600000	3000000	0	393901	350000	0	0	0	0	0	0	18807	5546	31033	1481	0	35602	0	0	20917	4066	0	48787	0	0	48060	107228	15288	0	0	9222	3267	2891	0
202210	2022/10/31	2115	9643868	2199905	7443963	350010	347895	350000	70695	9372	1547	2292696	2690933	97977	0	1196800	1000000	0	0	0	0	90268	2100000	93580	1345541	91074	1487	-14311	153128	0	0	641553	-18567	1667947	780000	1600000	3000000	0	396016	350000	0	10	0	0	0	0	12271	4266	56119	5056	0	55989	0	5346	44538	0	0	0	0	5157	23120	107228	13650	0	0	8785	3267	3103	0
202211	2022/11/30	151031	10029507	2434513	7594994	366327	215296	350000	78256	11571	1547	2292696	2690933	97977	0	1196800	1000000	0	0	0	0	124430	2450000	85297	1442403	91074	1487	-14311	190095	0	0	742332	-18567	1667947	780000	1600000	3000000	0	547047	350000	0	0	0	0	0	16327	20800	4799	30316	2875	0	11511	0	0	938	2000	0	0	0	0	0	107228	11937	0	0	8582	3267	4006	7037
202212	2022/12/31	2219	10365632	2768419	7597213	350000	347781	350000	113805	17280	1547	2292696	2636933	97977	0	1196800	1000000	0	0	0	0	131580	2800000	77014	1657036	91074	1487	-12771	197245	0	0	852915	-18567	1667947	780000	1600000	3000000	0	549266	350000	0	0	0	0	0	0	11412	6966	49567	1620	0	12104	0	86752	938	1296	0	1990	1540	0	0	107228	16314	0	0	10074	3267	36713	0
202301	2023/01/31	-427119	10378318	3208224	7170094	350000	777119	350000	120581	11585	1547	1934416	2616933	97977	0	1196800	1000000	0	0	0	0	179748	3150000	68731	1992258	91074	1487	-12771	197245	0	0	957498	-18567	1667947	780000	1600000	3000000	0	122147	350000	0	0	0	0	0	0	16099	4183	46411	1264	0	59773	0	22788	76688	12024	12474	0	0	0	55440	107228	15498	0	0	8685	3267	335297	0
202302	2023/02/28	35867	10711432	3505471	7205961	350000	314133	350000	75165	48398	1547	1934416	2616933	97977	0	1196800	1000000	0	0	0	0	179748	3500000	60448	2162902	91074	1487	-3387	199881	0	0	1072081	-18567	1667947	780000	1600000	3000000	0	158014	350000	0	0	0	0	0	0	13061	1476	58453	851	0	27355	0	17765	30663	2809	0	3360	0	4290	13700	107228	16567	0	0	8805	3267	4483	0
202303	2023/03/31	-37759	8168601	560536	7608065	350000	387759	350000	26713	25099	1547	2905061	2616933	59318	0	2357900	0	0	0	0	0	176030	0	0	382544	137119	3300	37573	0	0	0	0	0	1667947	780000	1600000	3000000	0	560118	350000	0	0	0	0	0	0	10400	3048	58090	6585	0	24232	0	8285	26573	20873	4172	28600	315	41463	16770	107228	11000	0	0	8805	3267	8053	0
202304	2023/04/30	-73192	8625910	691037	7934873	332142	405334	332130	29645	7001	11000	2931168	2996945	59318	176030	2357900	0	0	0	0	0	44803	0	12100	584614	50839	9000	44526	0	0	0	2058	0	2228065	780000	1600000	3400000	0	-73192	332130	0	12	0	0	0	0	8099	2392	48059	2837	0	17852	0	0	10783	16454	646	33220	1129	46424	0	0	0	0	0	6296	0	16554	194589
202305	2023/05/31	-132213	8319110	516450	7802660	337660	469873	332130	64921	6325	0	2689005	2881878	59318	198605	2357900	0	0	0	0	0	50608	0	10550	476919	10800	0	24615	0	0	0	4116	0	2228065	780000	1600000	3400000	0	-205405	332130	0	0	0	0	0	5530	25105	1216	28177	2006	0	27702	11461	0	29165	7433	0	167040	1784	70932	0	0	0	0	0	5097	0	71245	21510
202306	2023/06/30	476322	9100501	521519	8578982	809263	332941	406034	44779	5150	0	3049195	3181878	1169486	198605	1391800	0	0	0	0	0	50608	0	9000	447079	34220	0	34046	0	0	0	6174	0	2228065	780000	1600000	3700000	0	270917	406034	259151	1	0	128050	16017	10	7464	2783	27219	968	0	131449	20103	4320	9964	16930	1000	28725	0	52414	13870	0	0	0	0	4924	0	10808	0
202307	2023/07/31	92755	9178584	506847	8671737	413427	320672	359500	176473	14702	0	3090776	3181878	962218	124288	1598800	0	0	0	0	0	21999	0	7450	402471	8640	16059	51445	0	0	0	28232	0	2228065	780000	1600000	3700000	0	363672	359500	0	8	0	0	0	53919	15385	665	40054	3300	0	34462	9690	24200	1760	6389	0	38893	0	65390	700	0	0	0	0	5196	0	56893	17695
202308	2023/08/31	54475	9465608	439396	9026212	346828	292353	334915	149160	11763	0	1846454	3481878	51910	124288	2509116	0	0	0	2907300	-1657300	35139	0	5900	298268	63780	0	43058	0	0	0	34290	0	2228065	780000	1600000	4000000	0	418147	334915	0	20	0	0	0	11893	14048	1682	45305	2513	0	11772	660	6720	58497	15400	0	17250	1430	24174	30860	0	0	0	0	5175	0	13698	43169
202309	2023/09/30	287656	9780235	466367	9313868	609946	322290	330621	88226	8787	0	2157187	3481878	23618	223808	2544800	0	0	0	2907300	-1659719	0	0	4350	295454	90460	2508	12489	0	0	0	19456	46000	2228065	780000	1600000	4000000	0	705803	330621	0	0	0	7392	0	271933	9878	2848	45033	1501	0	10735	0	3640	45407	603	0	86990	0	54795	43950	0	0	0	0	5175	2419	9316	0
202310	2023/10/31	56374	10003412	633170	9370242	355484	299110	346299	288837	9895	0	1217182	3481891	43083	3808	3507800	0	0	0	2907300	-1662138	202954	0	2800	464999	37860	1857	56940	0	0	0	25514	46000	2228065	780000	1600000	4000000	0	762177	346299	0	13	0	-17535	0	26707	11573	2450	22614	5085	0	76231	12505	1080	5065	14699	5737	9241	0	35795	29220	0	0	0	0	5175	2419	2708	57513
202311	2023/11/30	59520	13160716	530954	12629762	393374	333854	327889	173318	8671	0	1208090	231011	33291	3808	6782000	0	3250880	0	2907300	-1664557	225654	0	1250	446053	2580	0	4749	0	0	0	31572	46000	2228065	780000	4800000	4000000	0	821697	327889	0	0	0	51099	13309	1077	7161	1787	57061	4521	0	6517	14310	15421	2780	4788	5800	15400	0	50621	10260	0	0	0	0	5175	2419	2708	127125
202312	2023/12/31	1276143	14299603	393698	13905905	1832616	556473	298818	45487	5935	0	1460248	171011	28534	87698	8068200	0	3250880	-58414	2907300	-1666976	0	0	-300	263213	6480	0	44375	0	0	0	33630	46000	2228065	780000	4800000	4000000	0	2097840	298818	1245200	0	0	79998	0	208600	8554	797	36197	11833	0	57554	38627	28600	11363	15763	1226	17919	0	44004	0	0	0	0	0	7699	60833	202728	12776
202401	2024/01/31	-6377	14401567	502039	13899528	396278	402655	327889	99397	7399	0	1587832	171011	10523	698	8154600	0	3250880	-116828	2907300	-1669395	0	0	-1850	278731	8640	0	25128	0	0	0	143540	46000	4325905	780000	4800000	4000000	0	-6377	327889	0	0	0	68389	0	0	11586	1681	44525	2309	0	34034	13039	0	660	704	0	0	6402	28987	0	67417	13885	22550	0	5175	60833	2708	86160
202402	2024/02/29	82254	14499968	518186	13981782	449112	366858	327889	84942	13255	16731	1715159	171011	32808	11338	8147000	0	3250880	-175242	2907300	-1671814	0	0	-3400	171306	10800	0	36630	0	0	0	253450	46000	4325905	780000	4800000	4000000	0	75877	327889	0	6	0	14685	0	106532	9651	1980	17893	5385	0	120793	4962	7600	0	3407	0	0	16170	6449	0	67417	13885	22550	0	5175	60833	2708	0
202403	2024/03/31	33894	14668037	671961	13996076	493269	459375	377615	90356	7186	9632	1374774	101011	71799	11338	8756600	0	3250880	-233656	2907300	-1674233	0	0	-4950	205954	15120	0	41527	0	0	0	363360	46000	4306305	780000	4800000	4000000	0	109771	377615	0	0	0	23369	35222	57063	6364	1448	36008	3283	0	44740	18328	0	0	8317	1076	0	0	31928	0	67417	13885	22550	0	5175	60833	3212	134811
202404	2024/04/30	-63482	14681746	749152	13932594	355867	419349	286224	66257	-23759	17714	891961	101011	84142	11338	9063900	0	3250880	-292070	2907300	-1676652	0	286224	-6500	179481	8640	9933	31828	0	0	0	473270	46000	4306305	780000	4800000	4000000	0	46289	286224	0	0	0	56843	12800	0	27083	2415	34032	450	0	14312	9384	3788	490	43656	0	6900	0	7038	0	67417	13885	22550	0	5175	60833	62254	37687
202405	2024/05/31	-179599	14809240	1056245	13752995	313314	492913	286224	60582	-19070	14766	798252	90859	34142	11338	9063900	0	3250880	-350484	2907300	-1679071	0	572448	53398	415104	0	0	11961	0	0	0	583180	46000	4306305	780000	4800000	4000000	0	-133310	286224	0	0	0	0	0	27090	20644	1140	0	1815	0	9173	4911	8199	0	11636	0	3598	0	6948	0	67417	13885	22550	0	5175	66420	41575	207827
202406	2024/06/30	755014	15611202	1103193	14508009	1046985	291971	286224	38895	-20298	10681	1174946	90859	840604	11338	9063900	0	3250880	-408898	2907300	-1681490	0	286224	46261	324153	0	0	19950	0	0	0	713090	46000	4306305	780000	4800000	4000000	0	621704	286224	599315	0	0	0	156462	4984	19165	4202	16249	3305	0	17268	2800	3569	0	12183	2800	0	0	25315	0	67417	13885	22550	0	5175	66420	9668	0
202407	2024/07/31	-36506	15477347	1005844	14471503	320577	357083	320577	20351	-19078	10681	400161	90859	1280604	11338	9063900	0	3250880	-467312	2907300	-1683909	0	572448	39124	90689	0	0	26155	0	0	0	843000	46000	4306305	780000	4800000	4000000	0	585198	320577	0	0	0	0	0	0	14989	1200	22430	5041	0	17916	5095	6514	7187	28848	887	0	2090	20000	0	67417	13885	22550	0	5175	66420	41088	8351
202408	2024/08/31	-63417	15571245	1163159	14408086	320643	384060	286224	15279	-13590	10681	977837	90859	1150604	11338	9063900	0	3250880	-525726	2907300	-1686328	0	286224	31987	128394	0	0	15855	0	0	0	972910	46000	4306305	780000	4800000	4000000	0	521781	286224	0	58	0	0	0	34361	15156	3435	7462	12607	0	6492	2967	18590	47600	15088	0	13200	0	25728	0	67417	13885	22550	0	5175	66420	40288	0
